,k,gamma,num_cliques,dataset,time,timeout_flag
0,2,0.0,79003,aamas_sub3,0.036622830231984455,False
1,2,0.1,12013,aamas_sub3,0.036622830231984455,False
2,2,0.2,6670,aamas_sub3,0.036622830231984455,False
3,2,0.3,3082,aamas_sub3,0.036622830231984455,False
4,2,0.4,1567,aamas_sub3,0.036622830231984455,False
5,2,0.5,1246,aamas_sub3,0.036622830231984455,False
6,2,0.6,286,aamas_sub3,0.036622830231984455,False
7,2,0.7,86,aamas_sub3,0.036622830231984455,False
8,2,0.8,62,aamas_sub3,0.036622830231984455,False
9,2,0.9,57,aamas_sub3,0.036622830231984455,False
10,2,1.0,57,aamas_sub3,0.036622830231984455,False
11,3,0.0,10428396,aamas_sub3,1.6777630964914958,False
12,3,0.1,1546481,aamas_sub3,1.6777630964914958,False
13,3,0.2,243478,aamas_sub3,1.6777630964914958,False
14,3,0.3,45170,aamas_sub3,1.6777630964914958,False
15,3,0.4,9259,aamas_sub3,1.6777630964914958,False
16,3,0.5,3804,aamas_sub3,1.6777630964914958,False
17,3,0.6,669,aamas_sub3,1.6777630964914958,False
18,3,0.7,149,aamas_sub3,1.6777630964914958,False
19,3,0.8,42,aamas_sub3,1.6777630964914958,False
20,3,0.9,15,aamas_sub3,1.6777630964914958,False
21,3,1.0,12,aamas_sub3,1.6777630964914958,False
