,k,gamma,num_cliques,dataset,time,timeout_flag
0,2,1.0,1652,wu,0.026108447710673013,False
1,3,1.0,1555,wu,0.024863719940185547,False
2,4,1.0,1234,wu,0.026683115959167482,False
3,5,1.0,882,wu,0.02366711695988973,False
4,6,1.0,520,wu,0.024375545978546142,False
5,7,1.0,218,wu,0.03243248065312703,False
6,8,1.0,54,wu,0.023289799690246582,False
7,9,1.0,6,wu,0.023715333143870036,False
8,10,1.0,0,wu,0.02396783431371053,False
9,11,1.0,0,wu,0.02378676732381185,False
10,12,1.0,0,wu,0.025146186351776123,False
11,13,1.0,0,wu,0.025839797655741372,False
12,2,0.9,1652,wu,0.024868516127268474,False
13,3,0.9,1555,wu,0.0230973482131958,False
14,4,0.9,4225,wu,0.02402041753133138,False
15,5,0.9,2976,wu,0.025371181964874267,False
16,6,0.9,4679,wu,0.02854501406351725,False
17,7,0.9,11628,wu,0.056594884395599364,False
18,8,0.9,9596,wu,0.2583156863848368,False
19,9,0.9,10887,wu,2.3304474512736,False
20,10,0.9,4597,wu,2.660451610883077,False
21,11,0.9,2474,wu,19.258988336722055,False
