,k,gamma,num_cliques,dataset,time,timeout_flag
0,2,0.0,483636,wu,0.23566463390986125,False
1,2,0.1,18180,wu,0.23566463390986125,False
2,2,0.2,14138,wu,0.23566463390986125,False
3,2,0.3,8910,wu,0.23566463390986125,False
4,2,0.4,5378,wu,0.23566463390986125,False
5,2,0.5,4734,wu,0.23566463390986125,False
6,2,0.6,1382,wu,0.23566463390986125,False
7,2,0.7,624,wu,0.23566463390986125,False
8,2,0.8,449,wu,0.23566463390986125,False
9,2,0.9,354,wu,0.23566463390986125,False
10,2,1.0,349,wu,0.23566463390986125,False
