,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
0,densest_subgraph,,2,1.0,False,0,2,596,596,0.07565194765726725,,0.05667757035700186,1.0
1,densest_subgraph,,2,1.0,False,1,2,596,596,0.07369211912155152,,0.05667757035700186,1.0
2,densest_subgraph,,2,1.0,False,2,2,596,596,0.07070416609446208,,0.05667757035700186,1.0
3,densest_subgraph,,2,1.0,False,3,2,596,596,0.07187968492507935,,0.05667757035700186,1.0
4,densest_subgraph,,2,1.0,False,4,2,596,596,0.07376953363418579,,0.05667757035700186,1.0
5,densest_subgraph,,2,1.0,False,5,2,596,596,0.07246986627578736,,0.05667757035700186,1.0
6,densest_subgraph,,2,1.0,False,6,2,596,596,0.07988086938858033,,0.05667757035700186,1.0
7,densest_subgraph,,2,1.0,False,7,2,596,596,0.08505502144495646,,0.056674750437087584,1.0
8,densest_subgraph,,2,1.0,False,8,2,596,596,0.08218298355738322,,0.05667757035700186,1.0
9,densest_subgraph,,2,1.0,False,9,2,596,596,0.08473790089289347,,0.05667757035700186,1.0
0,densest_subgraph,,3,1.0,False,0,3,596,596,0.081747833887736,,0.05668885003665896,1.0
1,densest_subgraph,,3,1.0,False,1,3,596,596,0.08182729880015055,,0.05667757035700186,1.0
2,densest_subgraph,,3,1.0,False,2,3,596,596,0.08064918120702108,,0.05668885003665896,1.0
3,densest_subgraph,,3,1.0,False,3,3,596,596,0.08389644622802735,,0.05668885003665896,1.0
4,densest_subgraph,,3,1.0,False,4,3,596,596,0.0850554863611857,,0.05668885003665896,1.0
5,densest_subgraph,,3,1.0,False,5,3,596,596,0.08427077929178874,,0.05668885003665896,1.0
6,densest_subgraph,,3,1.0,False,6,3,596,596,0.08313663403193156,,0.05668603011674468,1.0
7,densest_subgraph,,3,1.0,False,7,3,596,596,0.07964971462885538,,0.05668885003665896,1.0
8,densest_subgraph,,3,1.0,False,8,3,596,596,0.07759888172149658,,0.05668603011674468,1.0
9,densest_subgraph,,3,1.0,False,9,3,596,596,0.0791428804397583,,0.05668885003665896,1.0
0,densest_subgraph,,4,1.0,False,0,4,596,596,0.07414561907450358,,0.05670012971631606,1.0
1,densest_subgraph,,4,1.0,False,1,4,596,596,0.07203273375829061,,0.056705769556144606,1.0
2,densest_subgraph,,4,1.0,False,2,4,596,596,0.0718953529993693,,0.05669448987648751,1.0
3,densest_subgraph,,4,1.0,False,3,4,596,596,0.07057137091954549,,0.05670294963623033,1.0
4,densest_subgraph,,4,1.0,False,4,4,596,596,0.07000601689020793,,0.05670012971631606,1.0
5,densest_subgraph,,4,1.0,False,5,4,596,596,0.07152236302693685,,0.056705769556144606,1.0
6,densest_subgraph,,4,1.0,False,6,4,596,596,0.0716410477956136,,0.056705769556144606,1.0
7,densest_subgraph,,4,1.0,False,7,4,596,596,0.0688360850016276,,0.056705769556144606,1.0
8,densest_subgraph,,4,1.0,False,8,4,596,596,0.07627196311950683,,0.05670294963623033,1.0
9,densest_subgraph,,4,1.0,False,9,4,596,596,0.0761439323425293,,0.05670012971631606,1.0
0,densest_subgraph,,5,1.0,False,0,5,596,596,0.0719701329867045,,0.05672550899554453,1.0
1,densest_subgraph,,5,1.0,False,1,5,596,596,0.07108027935028076,,0.05672550899554453,1.0
2,densest_subgraph,,5,1.0,False,2,5,596,596,0.08118234872817993,,0.05671986915571598,1.0
3,densest_subgraph,,5,1.0,False,3,5,596,596,0.07354721625645956,,0.0567283289154588,1.0
4,densest_subgraph,,5,1.0,False,4,5,596,596,0.07045565048853557,,0.05672550899554453,1.0
5,densest_subgraph,,5,1.0,False,5,5,596,596,0.07027500073115031,,0.05672268907563025,1.0
6,densest_subgraph,,5,1.0,False,6,5,596,596,0.0788666327794393,,0.05671986915571598,1.0
7,densest_subgraph,,5,1.0,False,7,5,596,596,0.0713208039601644,,0.05671986915571598,1.0
8,densest_subgraph,,5,1.0,False,8,5,596,596,0.07011075019836426,,0.0567283289154588,1.0
9,densest_subgraph,,5,1.0,False,9,5,596,596,0.07549433708190918,,0.056705769556144606,1.0
0,densest_subgraph,,6,1.0,False,0,6,596,596,0.07340794801712036,,0.056748068354858724,1.0
1,densest_subgraph,,6,1.0,False,1,6,596,596,0.0697686513264974,,0.056748068354858724,1.0
2,densest_subgraph,,6,1.0,False,2,6,596,596,0.07174428304036458,,0.05675370819468727,1.0
3,densest_subgraph,,6,1.0,False,3,6,596,596,0.071581236521403,,0.056756528114601544,1.0
4,densest_subgraph,,6,1.0,False,4,6,596,596,0.0702536145846049,,0.056748068354858724,1.0
5,densest_subgraph,,6,1.0,False,5,6,596,596,0.07114525238672892,,0.05674524843494445,1.0
6,densest_subgraph,,6,1.0,False,6,6,596,596,0.07031025091807047,,0.056748068354858724,1.0
7,densest_subgraph,,6,1.0,False,7,6,596,596,0.07321320374806722,,0.05674524843494445,1.0
8,densest_subgraph,,6,1.0,False,8,6,596,596,0.071196182568868,,0.05675370819468727,1.0
