,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
0,fraudar,B,2,1.0,True,0,2,105,596,0.0006802995999654134,,0.1273221399054391,1.0
1,fraudar,B,2,1.0,True,1,0,105,596,0.0005614002545674642,,0.1271359964260452,1.0
2,fraudar,B,2,1.0,True,2,0,105,596,0.0006406307220458984,,0.1271359964260452,1.0
3,fraudar,B,2,1.0,True,3,0,105,596,0.0005623499552408854,,0.1271359964260452,1.0
4,fraudar,B,2,1.0,True,4,1,105,596,0.0008068641026814778,,0.1271359964260452,1.0
5,fraudar,B,2,1.0,True,5,0,105,596,0.0005611658096313476,,0.1271359964260452,1.0
6,fraudar,B,2,1.0,True,6,1,105,596,0.0005592664082845052,,0.1271359964260452,1.0
7,fraudar,B,2,1.0,True,7,1,105,596,0.0006075700124104818,,0.1271359964260452,1.0
8,fraudar,B,2,1.0,True,8,0,105,596,0.0005651990572611491,,0.1271359964260452,1.0
9,fraudar,B,2,1.0,True,9,1,105,596,0.0005632877349853515,,0.12717322512192397,1.0
0,fraudar,B,3,1.0,True,0,1,105,596,0.0006695826848347982,,0.12717322512192397,1.0
1,fraudar,B,3,1.0,True,1,0,105,596,0.0005616505940755208,,0.1271359964260452,1.0
2,fraudar,B,3,1.0,True,2,2,105,596,0.0005653500556945801,,0.12743382599307546,1.0
3,fraudar,B,3,1.0,True,3,0,105,596,0.0005628188451131185,,0.1271359964260452,1.0
4,fraudar,B,3,1.0,True,4,2,105,596,0.000783983866373698,,0.1273221399054391,1.0
5,fraudar,B,3,1.0,True,5,0,103,596,0.0006078640619913737,,0.12821876186859096,1.0
6,fraudar,B,3,1.0,True,6,1,104,596,0.0006511489550272624,,0.12769892797825758,1.0
7,fraudar,B,3,1.0,True,7,0,105,596,0.0005651672681172688,,0.1271359964260452,1.0
8,fraudar,B,3,1.0,True,8,1,105,596,0.0005571524302164714,,0.12717322512192397,1.0
9,fraudar,B,3,1.0,True,9,1,105,596,0.0006260355313618978,,0.12721045381780277,1.0
0,fraudar,B,4,1.0,True,0,1,101,596,0.0007015307744344076,,0.1297945473009921,1.0
1,fraudar,B,4,1.0,True,1,1,105,596,0.0005731860796610515,,0.1271359964260452,1.0
2,fraudar,B,4,1.0,True,2,1,105,596,0.0005539496739705404,,0.12724768251368154,1.0
3,fraudar,B,4,1.0,True,3,0,105,596,0.00055846373240153,,0.1271359964260452,1.0
4,fraudar,B,4,1.0,True,4,1,105,596,0.0005718350410461425,,0.12717322512192397,1.0
5,fraudar,B,4,1.0,True,5,0,104,596,0.0009046157201131184,,0.1276892881407111,1.0
6,fraudar,B,4,1.0,True,6,1,105,596,0.0005531509717305502,,0.12596562557752725,1.0
7,fraudar,B,4,1.0,True,7,1,104,596,0.0005549828211466472,,0.1277744224671599,1.0
8,fraudar,B,4,1.0,True,8,2,104,596,0.000552221139272054,,0.1279563827787178,1.0
9,fraudar,B,4,1.0,True,9,1,103,596,0.0005521138509114583,,0.1282947208507406,1.0
0,fraudar,B,5,1.0,True,0,2,105,596,0.0006356318791707357,,0.1277688842559845,1.0
1,fraudar,B,5,1.0,True,1,2,106,596,0.000559083620707194,,0.12892526228503443,1.0
2,fraudar,B,5,1.0,True,2,0,101,596,0.0005544026692708334,,0.12975548785251154,1.0
3,fraudar,B,5,1.0,True,3,2,104,596,0.0005525509516398112,,0.12796315868941568,1.0
4,fraudar,B,5,1.0,True,4,1,105,596,0.0005798459053039551,,0.12724768251368154,1.0
5,fraudar,B,5,1.0,True,5,1,102,596,0.0005910038948059082,,0.1288371913877441,1.0
6,fraudar,B,5,1.0,True,6,0,105,596,0.0005567828814188639,,0.1271359964260452,1.0
7,fraudar,B,5,1.0,True,7,4,105,596,0.0005544503529866536,,0.12873683034883288,1.0
8,fraudar,B,5,1.0,True,8,1,105,596,0.0005530516306559244,,0.1247479007003777,1.0
9,fraudar,B,5,1.0,True,9,1,105,596,0.0005618174870808919,,0.12721045381780277,1.0
0,fraudar,B,6,1.0,True,0,1,105,596,0.0005702376365661621,,0.1273221399054391,1.0
1,fraudar,B,6,1.0,True,1,4,104,596,0.0005813320477803548,,0.1296108291032149,1.0
2,fraudar,B,6,1.0,True,2,2,104,596,0.0005918343861897787,,0.1278499169560622,1.0
3,fraudar,B,6,1.0,True,3,4,102,596,0.0005607326825459798,,0.1337954939341421,1.0
4,fraudar,B,6,1.0,True,4,1,102,596,0.0005890130996704102,,0.1288371913877441,1.0
5,fraudar,B,6,1.0,True,5,3,106,596,0.0005572835604349772,,0.12814152836038664,1.0
6,fraudar,B,6,1.0,True,6,3,105,596,0.0005570530891418457,,0.12829008599828748,1.0
7,fraudar,B,6,1.0,True,7,2,105,596,0.0005541006724039713,,0.12765719816834817,1.0
8,fraudar,B,6,1.0,True,8,2,101,596,0.0005560517311096191,,0.13057573627060387,1.0
9,fraudar,B,6,1.0,True,9,1,105,596,0.0005576848983764648,,0.12724768251368154,1.0
0,fraudar,B,7,1.0,True,0,2,105,596,0.0005965312321980794,,0.1277688842559845,1.0
1,fraudar,B,7,1.0,True,1,1,104,596,0.0005791703859965007,,0.12788766420051337,1.0
2,fraudar,B,7,1.0,True,2,2,102,596,0.0006261666615804037,,0.1295304856911759,1.0
3,fraudar,B,7,1.0,True,3,1,104,596,0.0005671501159667969,,0.12772703253566844,1.0
4,fraudar,B,7,1.0,True,4,3,101,596,0.0005527337392171224,,0.13100539020389032,1.0
5,fraudar,B,7,1.0,True,5,2,104,596,0.0005595167477925618,,0.1272604233241851,1.0
6,fraudar,B,7,1.0,True,6,3,102,596,0.0008960644404093425,,0.12978929054707133,1.0
7,fraudar,B,7,1.0,True,7,0,103,596,0.0005873680114746094,,0.1282581237799977,1.0
8,fraudar,B,7,1.0,True,8,3,102,596,0.0005576332410176595,,0.1310326233486115,1.0
9,fraudar,B,7,1.0,True,9,0,102,596,0.0005880037943522136,,0.12879867503755343,1.0
0,fraudar,B,8,1.0,True,0,4,104,596,0.0006158312161763509,,0.12826806500799584,1.0
1,fraudar,B,8,1.0,True,1,0,104,596,0.0006432493527730305,,0.1276892881407111,1.0
2,fraudar,B,8,1.0,True,2,8,112,596,0.0005534013112386067,,0.13062159839587512,1.0
3,fraudar,B,8,1.0,True,3,2,106,596,0.0006272991498311361,,0.1283341906091557,1.0
4,fraudar,B,8,1.0,True,4,1,104,596,0.0006095528602600098,,0.12795349890541255,1.0
5,fraudar,B,8,1.0,True,5,2,102,596,0.0005840142567952474,,0.12967831735230437,1.0
6,fraudar,B,8,1.0,True,6,3,106,596,0.00055390199025472,,0.1261660021216666,1.0
7,fraudar,B,8,1.0,True,7,1,104,596,0.0005847334861755372,,0.12795157166491203,1.0
8,fraudar,B,8,1.0,True,8,2,104,596,0.0005540966987609864,,0.12844417603985808,1.0
9,fraudar,B,8,1.0,True,9,2,102,596,0.000562731424967448,,0.1301422827095577,1.0
0,fraudar,B,9,1.0,True,0,4,104,596,0.000558916727701823,,0.12901034196421832,1.0
1,fraudar,B,9,1.0,True,1,1,101,596,0.0005599339803059896,,0.1296875,1.0
