,planted_k,planted_gamma,metric,trial,value,bid_weights
0,2,1.0,frac_total,0,0.0,False
1,2,1.0,frac_total,1,0.0,False
2,2,1.0,frac_total,2,0.0,False
3,2,1.0,frac_total,3,0.0,False
4,2,1.0,frac_total,4,0.0,False
5,2,1.0,frac_total,5,0.0,False
6,2,1.0,frac_total,6,0.0,False
7,2,1.0,frac_total,7,0.0,False
8,2,1.0,frac_total,8,0.5,False
9,2,1.0,frac_total,9,0.0,False
10,2,1.0,frac_papers,0,0.0,False
11,2,1.0,frac_papers,1,0.0,False
12,2,1.0,frac_papers,2,0.0,False
13,2,1.0,frac_papers,3,0.0,False
14,2,1.0,frac_papers,4,0.0,False
15,2,1.0,frac_papers,5,0.0,False
16,2,1.0,frac_papers,6,0.0,False
17,2,1.0,frac_papers,7,0.0,False
18,2,1.0,frac_papers,8,0.5,False
19,2,1.0,frac_papers,9,0.0,False
20,2,1.0,frac_revs,0,0.0,False
21,2,1.0,frac_revs,1,0.0,False
22,2,1.0,frac_revs,2,0.0,False
23,2,1.0,frac_revs,3,0.0,False
24,2,1.0,frac_revs,4,0.0,False
25,2,1.0,frac_revs,5,0.0,False
26,2,1.0,frac_revs,6,0.0,False
27,2,1.0,frac_revs,7,0.0,False
28,2,1.0,frac_revs,8,0.5,False
29,2,1.0,frac_revs,9,0.0,False
30,3,1.0,frac_total,0,0.0,False
31,3,1.0,frac_total,1,0.0,False
32,3,1.0,frac_total,2,0.0,False
33,3,1.0,frac_total,3,0.16666666666666666,False
34,3,1.0,frac_total,4,0.0,False
35,3,1.0,frac_total,5,0.0,False
36,3,1.0,frac_total,6,0.1875,False
37,3,1.0,frac_total,7,0.08333333333333333,False
38,3,1.0,frac_total,8,0.0,False
39,3,1.0,frac_total,9,0.07142857142857142,False
40,3,1.0,frac_papers,0,0.0,False
41,3,1.0,frac_papers,1,0.0,False
42,3,1.0,frac_papers,2,0.0,False
43,3,1.0,frac_papers,3,0.2727272727272727,False
44,3,1.0,frac_papers,4,0.0,False
45,3,1.0,frac_papers,5,0.0,False
46,3,1.0,frac_papers,6,0.3333333333333333,False
47,3,1.0,frac_papers,7,0.16666666666666666,False
48,3,1.0,frac_papers,8,0.0,False
49,3,1.0,frac_papers,9,0.14285714285714285,False
50,3,1.0,frac_revs,0,0.0,False
51,3,1.0,frac_revs,1,0.0,False
52,3,1.0,frac_revs,2,0.0,False
53,3,1.0,frac_revs,3,0.6666666666666666,False
54,3,1.0,frac_revs,4,0.0,False
55,3,1.0,frac_revs,5,0.0,False
56,3,1.0,frac_revs,6,1.0,False
57,3,1.0,frac_revs,7,0.3333333333333333,False
58,3,1.0,frac_revs,8,0.0,False
59,3,1.0,frac_revs,9,0.3333333333333333,False
60,4,1.0,frac_total,0,0.08695652173913043,False
61,4,1.0,frac_total,1,0.047619047619047616,False
62,4,1.0,frac_total,2,0.0,False
63,4,1.0,frac_total,3,0.125,False
64,4,1.0,frac_total,4,0.09090909090909091,False
65,4,1.0,frac_total,5,0.16666666666666666,False
66,4,1.0,frac_total,6,0.09523809523809523,False
67,4,1.0,frac_total,7,0.08333333333333333,False
68,4,1.0,frac_total,8,0.08333333333333333,False
69,4,1.0,frac_total,9,0.16666666666666666,False
70,4,1.0,frac_papers,0,0.2,False
71,4,1.0,frac_papers,1,0.1,False
72,4,1.0,frac_papers,2,0.0,False
73,4,1.0,frac_papers,3,0.1111111111111111,False
74,4,1.0,frac_papers,4,0.2222222222222222,False
75,4,1.0,frac_papers,5,0.21052631578947367,False
76,4,1.0,frac_papers,6,0.25,False
77,4,1.0,frac_papers,7,0.14285714285714285,False
78,4,1.0,frac_papers,8,0.18181818181818182,False
79,4,1.0,frac_papers,9,0.4,False
80,4,1.0,frac_revs,0,0.5,False
81,4,1.0,frac_revs,1,0.25,False
82,4,1.0,frac_revs,2,0.0,False
83,4,1.0,frac_revs,3,0.5,False
84,4,1.0,frac_revs,4,0.5,False
85,4,1.0,frac_revs,5,0.75,False
86,4,1.0,frac_revs,6,0.5,False
87,4,1.0,frac_revs,7,0.5,False
88,4,1.0,frac_revs,8,0.5,False
89,4,1.0,frac_revs,9,0.5,False
90,5,1.0,frac_total,0,0.03333333333333333,False
91,5,1.0,frac_total,1,0.1,False
92,5,1.0,frac_total,2,0.13333333333333333,False
93,5,1.0,frac_total,3,0.06666666666666667,False
94,5,1.0,frac_total,4,0.03333333333333333,False
95,5,1.0,frac_total,5,0.1,False
96,5,1.0,frac_total,6,0.0,False
97,5,1.0,frac_total,7,0.03333333333333333,False
98,5,1.0,frac_total,8,0.0,False
99,5,1.0,frac_total,9,0.06666666666666667,False
100,5,1.0,frac_papers,0,0.06666666666666667,False
101,5,1.0,frac_papers,1,0.2727272727272727,False
102,5,1.0,frac_papers,2,0.21052631578947367,False
103,5,1.0,frac_papers,3,0.0625,False
104,5,1.0,frac_papers,4,0.047619047619047616,False
105,5,1.0,frac_papers,5,0.1875,False
106,5,1.0,frac_papers,6,0.0,False
107,5,1.0,frac_papers,7,0.06666666666666667,False
108,5,1.0,frac_papers,8,0.0,False
109,5,1.0,frac_papers,9,0.125,False
110,5,1.0,frac_revs,0,0.2,False
111,5,1.0,frac_revs,1,0.4,False
112,5,1.0,frac_revs,2,0.4,False
113,5,1.0,frac_revs,3,0.2,False
114,5,1.0,frac_revs,4,0.2,False
115,5,1.0,frac_revs,5,0.4,False
116,5,1.0,frac_revs,6,0.0,False
117,5,1.0,frac_revs,7,0.2,False
118,5,1.0,frac_revs,8,0.0,False
119,5,1.0,frac_revs,9,0.4,False
120,6,1.0,frac_total,0,0.1388888888888889,False
121,6,1.0,frac_total,1,0.05555555555555555,False
122,6,1.0,frac_total,2,0.06666666666666667,False
123,6,1.0,frac_total,3,0.1111111111111111,False
124,6,1.0,frac_total,4,0.2222222222222222,False
125,6,1.0,frac_total,5,0.05555555555555555,False
126,6,1.0,frac_total,6,0.027777777777777776,False
127,6,1.0,frac_total,7,0.0,False
128,6,1.0,frac_total,8,0.027777777777777776,False
129,6,1.0,frac_total,9,0.19444444444444445,False
130,6,1.0,frac_papers,0,0.3076923076923077,False
131,6,1.0,frac_papers,1,0.08333333333333333,False
132,6,1.0,frac_papers,2,0.2,False
133,6,1.0,frac_papers,3,0.16666666666666666,False
134,6,1.0,frac_papers,4,0.4,False
135,6,1.0,frac_papers,5,0.125,False
136,6,1.0,frac_papers,6,0.07142857142857142,False
137,6,1.0,frac_papers,7,0.0,False
138,6,1.0,frac_papers,8,0.034482758620689655,False
139,6,1.0,frac_papers,9,0.2222222222222222,False
140,6,1.0,frac_revs,0,0.5,False
141,6,1.0,frac_revs,1,0.16666666666666666,False
142,6,1.0,frac_revs,2,0.3333333333333333,False
143,6,1.0,frac_revs,3,0.3333333333333333,False
144,6,1.0,frac_revs,4,0.6666666666666666,False
145,6,1.0,frac_revs,5,0.16666666666666666,False
146,6,1.0,frac_revs,6,0.16666666666666666,False
147,6,1.0,frac_revs,7,0.0,False
148,6,1.0,frac_revs,8,0.16666666666666666,False
149,6,1.0,frac_revs,9,0.5,False
