planted_k,planted_gamma,metric,trial,value,bid_weights
2,1.0,frac_total,0,0.0,False
2,1.0,frac_total,1,0.0,False
2,1.0,frac_total,2,0.0,False
2,1.0,frac_total,3,0.0,False
2,1.0,frac_total,4,0.0,False
2,1.0,frac_total,5,0.0,False
2,1.0,frac_total,6,0.0,False
2,1.0,frac_total,7,0.0,False
2,1.0,frac_total,8,0.0,False
2,1.0,frac_total,9,0.0,False
2,1.0,frac_papers,0,0.0,False
2,1.0,frac_papers,1,0.0,False
2,1.0,frac_papers,2,0.0,False
2,1.0,frac_papers,3,0.0,False
2,1.0,frac_papers,4,0.0,False
2,1.0,frac_papers,5,0.0,False
2,1.0,frac_papers,6,0.0,False
2,1.0,frac_papers,7,0.0,False
2,1.0,frac_papers,8,0.0,False
2,1.0,frac_papers,9,0.0,False
2,1.0,frac_revs,0,0.0,False
2,1.0,frac_revs,1,0.0,False
2,1.0,frac_revs,2,0.0,False
2,1.0,frac_revs,3,0.0,False
2,1.0,frac_revs,4,0.0,False
2,1.0,frac_revs,5,0.0,False
2,1.0,frac_revs,6,0.0,False
2,1.0,frac_revs,7,0.0,False
2,1.0,frac_revs,8,0.0,False
2,1.0,frac_revs,9,0.0,False
3,1.0,frac_total,0,0.125,False
3,1.0,frac_total,1,0.0,False
3,1.0,frac_total,2,0.0,False
3,1.0,frac_total,3,0.0,False
3,1.0,frac_total,4,0.1,False
3,1.0,frac_total,5,0.0,False
3,1.0,frac_total,6,0.0,False
3,1.0,frac_total,7,0.0,False
3,1.0,frac_total,8,0.05555555555555555,False
3,1.0,frac_total,9,0.0,False
3,1.0,frac_papers,0,0.25,False
3,1.0,frac_papers,1,0.0,False
3,1.0,frac_papers,2,0.0,False
3,1.0,frac_papers,3,0.0,False
3,1.0,frac_papers,4,0.2,False
3,1.0,frac_papers,5,0.0,False
3,1.0,frac_papers,6,0.0,False
3,1.0,frac_papers,7,0.0,False
3,1.0,frac_papers,8,0.07692307692307693,False
3,1.0,frac_papers,9,0.0,False
3,1.0,frac_revs,0,0.3333333333333333,False
3,1.0,frac_revs,1,0.0,False
3,1.0,frac_revs,2,0.0,False
3,1.0,frac_revs,3,0.0,False
3,1.0,frac_revs,4,0.3333333333333333,False
3,1.0,frac_revs,5,0.0,False
3,1.0,frac_revs,6,0.0,False
3,1.0,frac_revs,7,0.0,False
3,1.0,frac_revs,8,0.3333333333333333,False
3,1.0,frac_revs,9,0.0,False
4,1.0,frac_total,0,0.0,False
4,1.0,frac_total,1,0.0,False
4,1.0,frac_total,2,0.0,False
4,1.0,frac_total,3,0.041666666666666664,False
4,1.0,frac_total,4,0.041666666666666664,False
4,1.0,frac_total,5,0.041666666666666664,False
4,1.0,frac_total,6,0.08333333333333333,False
4,1.0,frac_total,7,0.041666666666666664,False
4,1.0,frac_total,8,0.16666666666666666,False
4,1.0,frac_total,9,0.05555555555555555,False
4,1.0,frac_papers,0,0.0,False
4,1.0,frac_papers,1,0.0,False
4,1.0,frac_papers,2,0.0,False
4,1.0,frac_papers,3,0.09090909090909091,False
4,1.0,frac_papers,4,0.1,False
4,1.0,frac_papers,5,0.06666666666666667,False
4,1.0,frac_papers,6,0.13333333333333333,False
4,1.0,frac_papers,7,0.09090909090909091,False
4,1.0,frac_papers,8,0.2857142857142857,False
4,1.0,frac_papers,9,0.16666666666666666,False
4,1.0,frac_revs,0,0.0,False
4,1.0,frac_revs,1,0.0,False
4,1.0,frac_revs,2,0.0,False
4,1.0,frac_revs,3,0.25,False
4,1.0,frac_revs,4,0.25,False
4,1.0,frac_revs,5,0.25,False
4,1.0,frac_revs,6,0.5,False
4,1.0,frac_revs,7,0.25,False
4,1.0,frac_revs,8,0.75,False
4,1.0,frac_revs,9,0.25,False
5,1.0,frac_total,0,0.13333333333333333,False
5,1.0,frac_total,1,0.16666666666666666,False
5,1.0,frac_total,2,0.1111111111111111,False
5,1.0,frac_total,3,0.0,False
5,1.0,frac_total,4,0.23333333333333334,False
5,1.0,frac_total,5,0.06896551724137931,False
5,1.0,frac_total,6,0.0,False
5,1.0,frac_total,7,0.037037037037037035,False
5,1.0,frac_total,8,0.06666666666666667,False
5,1.0,frac_total,9,0.041666666666666664,False
5,1.0,frac_papers,0,0.21428571428571427,False
5,1.0,frac_papers,1,0.2,False
5,1.0,frac_papers,2,0.2222222222222222,False
5,1.0,frac_papers,3,0.0,False
5,1.0,frac_papers,4,0.5454545454545454,False
5,1.0,frac_papers,5,0.14285714285714285,False
5,1.0,frac_papers,6,0.0,False
5,1.0,frac_papers,7,0.1111111111111111,False
5,1.0,frac_papers,8,0.1111111111111111,False
5,1.0,frac_papers,9,0.125,False
5,1.0,frac_revs,0,0.4,False
5,1.0,frac_revs,1,0.4,False
5,1.0,frac_revs,2,0.4,False
5,1.0,frac_revs,3,0.0,False
5,1.0,frac_revs,4,0.6,False
5,1.0,frac_revs,5,0.2,False
5,1.0,frac_revs,6,0.0,False
5,1.0,frac_revs,7,0.2,False
5,1.0,frac_revs,8,0.4,False
5,1.0,frac_revs,9,0.2,False
6,1.0,frac_total,0,0.030303030303030304,False
6,1.0,frac_total,1,0.05555555555555555,False
6,1.0,frac_total,2,0.030303030303030304,False
6,1.0,frac_total,3,0.25,False
6,1.0,frac_total,4,0.08333333333333333,False
6,1.0,frac_total,5,0.05555555555555555,False
6,1.0,frac_total,6,0.1111111111111111,False
6,1.0,frac_total,7,0.027777777777777776,False
6,1.0,frac_total,8,0.08333333333333333,False
6,1.0,frac_total,9,0.1111111111111111,False
6,1.0,frac_papers,0,0.09090909090909091,False
6,1.0,frac_papers,1,0.13333333333333333,False
6,1.0,frac_papers,2,0.09090909090909091,False
6,1.0,frac_papers,3,0.1891891891891892,False
6,1.0,frac_papers,4,0.13043478260869565,False
6,1.0,frac_papers,5,0.10526315789473684,False
6,1.0,frac_papers,6,0.26666666666666666,False
6,1.0,frac_papers,7,0.05,False
6,1.0,frac_papers,8,0.14285714285714285,False
6,1.0,frac_papers,9,0.2857142857142857,False
6,1.0,frac_revs,0,0.16666666666666666,False
6,1.0,frac_revs,1,0.3333333333333333,False
6,1.0,frac_revs,2,0.16666666666666666,False
6,1.0,frac_revs,3,0.3333333333333333,False
6,1.0,frac_revs,4,0.5,False
6,1.0,frac_revs,5,0.16666666666666666,False
6,1.0,frac_revs,6,0.5,False
6,1.0,frac_revs,7,0.16666666666666666,False
6,1.0,frac_revs,8,0.16666666666666666,False
6,1.0,frac_revs,9,0.6666666666666666,False
7,1.0,frac_total,0,0.16666666666666666,False
7,1.0,frac_total,1,0.11904761904761904,False
7,1.0,frac_total,2,0.0,False
7,1.0,frac_total,3,0.07142857142857142,False
7,1.0,frac_total,4,0.023809523809523808,False
7,1.0,frac_total,5,0.023809523809523808,False
7,1.0,frac_total,6,0.11904761904761904,False
7,1.0,frac_total,7,0.07142857142857142,False
7,1.0,frac_total,8,0.047619047619047616,False
7,1.0,frac_total,9,0.16666666666666666,False
7,1.0,frac_papers,0,0.2631578947368421,False
7,1.0,frac_papers,1,0.2631578947368421,False
7,1.0,frac_papers,2,0.0,False
7,1.0,frac_papers,3,0.16666666666666666,False
7,1.0,frac_papers,4,0.05555555555555555,False
7,1.0,frac_papers,5,0.05,False
7,1.0,frac_papers,6,0.2631578947368421,False
7,1.0,frac_papers,7,0.13043478260869565,False
7,1.0,frac_papers,8,0.06451612903225806,False
7,1.0,frac_papers,9,0.375,False
7,1.0,frac_revs,0,0.5714285714285714,False
7,1.0,frac_revs,1,0.42857142857142855,False
7,1.0,frac_revs,2,0.0,False
7,1.0,frac_revs,3,0.42857142857142855,False
7,1.0,frac_revs,4,0.14285714285714285,False
7,1.0,frac_revs,5,0.14285714285714285,False
7,1.0,frac_revs,6,0.42857142857142855,False
7,1.0,frac_revs,7,0.42857142857142855,False
7,1.0,frac_revs,8,0.2857142857142857,False
7,1.0,frac_revs,9,0.42857142857142855,False
8,1.0,frac_total,0,0.16666666666666666,False
8,1.0,frac_total,1,0.0625,False
8,1.0,frac_total,2,0.0625,False
8,1.0,frac_total,3,0.030303030303030304,False
8,1.0,frac_total,4,0.041666666666666664,False
8,1.0,frac_total,5,0.08333333333333333,False
8,1.0,frac_total,6,0.030303030303030304,False
8,1.0,frac_total,7,0.08888888888888889,False
8,1.0,frac_total,8,0.10416666666666667,False
8,1.0,frac_total,9,0.22916666666666666,False
8,1.0,frac_papers,0,0.23809523809523808,False
8,1.0,frac_papers,1,0.1875,False
8,1.0,frac_papers,2,0.10714285714285714,False
8,1.0,frac_papers,3,0.09090909090909091,False
8,1.0,frac_papers,4,0.09090909090909091,False
8,1.0,frac_papers,5,0.2222222222222222,False
8,1.0,frac_papers,6,0.09090909090909091,False
8,1.0,frac_papers,7,0.2,False
8,1.0,frac_papers,8,0.22727272727272727,False
8,1.0,frac_papers,9,0.25,False
8,1.0,frac_revs,0,0.5,False
8,1.0,frac_revs,1,0.375,False
8,1.0,frac_revs,2,0.25,False
8,1.0,frac_revs,3,0.125,False
8,1.0,frac_revs,4,0.25,False
8,1.0,frac_revs,5,0.375,False
8,1.0,frac_revs,6,0.25,False
8,1.0,frac_revs,7,0.25,False
8,1.0,frac_revs,8,0.5,False
8,1.0,frac_revs,9,0.75,False
9,1.0,frac_total,0,0.14814814814814814,False
9,1.0,frac_total,1,0.24074074074074073,False
9,1.0,frac_total,2,0.2962962962962963,False
9,1.0,frac_total,3,0.16666666666666666,False
9,1.0,frac_total,4,0.14814814814814814,False
9,1.0,frac_total,5,0.09259259259259259,False
9,1.0,frac_total,6,0.037037037037037035,False
9,1.0,frac_total,7,0.1111111111111111,False
9,1.0,frac_total,8,0.18518518518518517,False
9,1.0,frac_total,9,0.14814814814814814,False
9,1.0,frac_papers,0,0.3157894736842105,False
9,1.0,frac_papers,1,0.32142857142857145,False
9,1.0,frac_papers,2,0.3611111111111111,False
9,1.0,frac_papers,3,0.27586206896551724,False
9,1.0,frac_papers,4,0.23809523809523808,False
9,1.0,frac_papers,5,0.19230769230769232,False
9,1.0,frac_papers,6,0.1,False
9,1.0,frac_papers,7,0.2,False
9,1.0,frac_papers,8,0.3684210526315789,False
9,1.0,frac_papers,9,0.18181818181818182,False
9,1.0,frac_revs,0,0.5555555555555556,False
9,1.0,frac_revs,1,0.6666666666666666,False
9,1.0,frac_revs,2,0.6666666666666666,False
9,1.0,frac_revs,3,0.5555555555555556,False
9,1.0,frac_revs,4,0.5555555555555556,False
9,1.0,frac_revs,5,0.4444444444444444,False
9,1.0,frac_revs,6,0.2222222222222222,False
9,1.0,frac_revs,7,0.3333333333333333,False
9,1.0,frac_revs,8,0.5555555555555556,False
9,1.0,frac_revs,9,0.3333333333333333,False
10,1.0,frac_total,0,0.2,False
10,1.0,frac_total,1,0.23333333333333334,False
10,1.0,frac_total,2,0.13333333333333333,False
10,1.0,frac_total,3,0.08333333333333333,False
10,1.0,frac_total,4,0.11666666666666667,False
10,1.0,frac_total,5,0.06666666666666667,False
10,1.0,frac_total,6,0.06666666666666667,False
10,1.0,frac_total,7,0.15,False
10,1.0,frac_total,8,0.08333333333333333,False
10,1.0,frac_total,9,0.12962962962962962,False
10,1.0,frac_papers,0,0.30434782608695654,False
10,1.0,frac_papers,1,0.2857142857142857,False
10,1.0,frac_papers,2,0.18518518518518517,False
10,1.0,frac_papers,3,0.125,False
10,1.0,frac_papers,4,0.16666666666666666,False
10,1.0,frac_papers,5,0.14814814814814814,False
10,1.0,frac_papers,6,0.09090909090909091,False
10,1.0,frac_papers,7,0.25,False
10,1.0,frac_papers,8,0.15625,False
10,1.0,frac_papers,9,0.2777777777777778,False
10,1.0,frac_revs,0,0.5,False
10,1.0,frac_revs,1,0.6,False
10,1.0,frac_revs,2,0.4,False
10,1.0,frac_revs,3,0.3,False
10,1.0,frac_revs,4,0.3,False
10,1.0,frac_revs,5,0.4,False
10,1.0,frac_revs,6,0.2,False
10,1.0,frac_revs,7,0.4,False
10,1.0,frac_revs,8,0.4,False
10,1.0,frac_revs,9,0.4,False
11,1.0,frac_total,0,0.13636363636363635,False
11,1.0,frac_total,1,0.06666666666666667,False
11,1.0,frac_total,2,0.07407407407407407,False
11,1.0,frac_total,3,0.18181818181818182,False
11,1.0,frac_total,4,0.15151515151515152,False
11,1.0,frac_total,5,0.09259259259259259,False
11,1.0,frac_total,6,0.12121212121212122,False
11,1.0,frac_total,7,0.09090909090909091,False
11,1.0,frac_total,8,0.12121212121212122,False
11,1.0,frac_total,9,0.10606060606060606,False
11,1.0,frac_papers,0,0.34782608695652173,False
11,1.0,frac_papers,1,0.2,False
11,1.0,frac_papers,2,0.16666666666666666,False
11,1.0,frac_papers,3,0.2727272727272727,False
11,1.0,frac_papers,4,0.28,False
11,1.0,frac_papers,5,0.2777777777777778,False
11,1.0,frac_papers,6,0.23333333333333334,False
11,1.0,frac_papers,7,0.2,False
11,1.0,frac_papers,8,0.18181818181818182,False
11,1.0,frac_papers,9,0.20833333333333334,False
11,1.0,frac_revs,0,0.5454545454545454,False
11,1.0,frac_revs,1,0.2727272727272727,False
11,1.0,frac_revs,2,0.2727272727272727,False
11,1.0,frac_revs,3,0.5454545454545454,False
11,1.0,frac_revs,4,0.6363636363636364,False
11,1.0,frac_revs,5,0.36363636363636365,False
11,1.0,frac_revs,6,0.45454545454545453,False
11,1.0,frac_revs,7,0.2727272727272727,False
11,1.0,frac_revs,8,0.5454545454545454,False
11,1.0,frac_revs,9,0.36363636363636365,False
12,1.0,frac_total,0,0.05555555555555555,False
12,1.0,frac_total,1,0.125,False
12,1.0,frac_total,2,0.20833333333333334,False
12,1.0,frac_total,3,0.1527777777777778,False
12,1.0,frac_total,4,0.16666666666666666,False
12,1.0,frac_total,5,0.1527777777777778,False
12,1.0,frac_total,6,0.1527777777777778,False
12,1.0,frac_total,7,0.013888888888888888,False
12,1.0,frac_total,8,0.17543859649122806,False
12,1.0,frac_total,9,0.2361111111111111,False
12,1.0,frac_papers,0,0.14285714285714285,False
12,1.0,frac_papers,1,0.21428571428571427,False
12,1.0,frac_papers,2,0.23684210526315788,False
12,1.0,frac_papers,3,0.3125,False
12,1.0,frac_papers,4,0.2962962962962963,False
12,1.0,frac_papers,5,0.3103448275862069,False
12,1.0,frac_papers,6,0.2571428571428571,False
12,1.0,frac_papers,7,0.03125,False
12,1.0,frac_papers,8,0.3157894736842105,False
12,1.0,frac_papers,9,0.32432432432432434,False
12,1.0,frac_revs,0,0.25,False
12,1.0,frac_revs,1,0.4166666666666667,False
12,1.0,frac_revs,2,0.5,False
12,1.0,frac_revs,3,0.4166666666666667,False
12,1.0,frac_revs,4,0.4166666666666667,False
12,1.0,frac_revs,5,0.5833333333333334,False
12,1.0,frac_revs,6,0.4166666666666667,False
12,1.0,frac_revs,7,0.08333333333333333,False
12,1.0,frac_revs,8,0.4166666666666667,False
12,1.0,frac_revs,9,0.6666666666666666,False
13,1.0,frac_total,0,0.28205128205128205,False
13,1.0,frac_total,1,0.21794871794871795,False
13,1.0,frac_total,2,0.19230769230769232,False
13,1.0,frac_total,3,0.2692307692307692,False
13,1.0,frac_total,4,0.09722222222222222,False
13,1.0,frac_total,5,0.1282051282051282,False
13,1.0,frac_total,6,0.20512820512820512,False
13,1.0,frac_total,7,0.1282051282051282,False
13,1.0,frac_total,8,0.14102564102564102,False
13,1.0,frac_total,9,0.15384615384615385,False
13,1.0,frac_papers,0,0.3111111111111111,False
13,1.0,frac_papers,1,0.27906976744186046,False
13,1.0,frac_papers,2,0.34146341463414637,False
13,1.0,frac_papers,3,0.42424242424242425,False
13,1.0,frac_papers,4,0.25,False
13,1.0,frac_papers,5,0.2727272727272727,False
13,1.0,frac_papers,6,0.3333333333333333,False
13,1.0,frac_papers,7,0.24242424242424243,False
13,1.0,frac_papers,8,0.2,False
13,1.0,frac_papers,9,0.2727272727272727,False
13,1.0,frac_revs,0,0.6153846153846154,False
13,1.0,frac_revs,1,0.38461538461538464,False
13,1.0,frac_revs,2,0.6153846153846154,False
13,1.0,frac_revs,3,0.8461538461538461,False
13,1.0,frac_revs,4,0.38461538461538464,False
13,1.0,frac_revs,5,0.5384615384615384,False
13,1.0,frac_revs,6,0.6153846153846154,False
13,1.0,frac_revs,7,0.5384615384615384,False
13,1.0,frac_revs,8,0.5384615384615384,False
13,1.0,frac_revs,9,0.6923076923076923,False
14,1.0,frac_total,0,0.07142857142857142,False
14,1.0,frac_total,1,0.11904761904761904,False
