planted_k,planted_gamma,metric,trial,value,bid_weights
2,1.0,frac_total,0,0.0,False
2,1.0,frac_total,1,0.0,False
2,1.0,frac_papers,0,0.0,False
2,1.0,frac_papers,1,0.0,False
2,1.0,frac_revs,0,0.0,False
2,1.0,frac_revs,1,0.0,False
3,1.0,frac_total,0,0.0,False
3,1.0,frac_total,1,0.125,False
3,1.0,frac_papers,0,0.0,False
3,1.0,frac_papers,1,0.25,False
3,1.0,frac_revs,0,0.0,False
3,1.0,frac_revs,1,0.3333333333333333,False
4,1.0,frac_total,0,0.0,False
4,1.0,frac_total,1,0.0,False
4,1.0,frac_papers,0,0.0,False
4,1.0,frac_papers,1,0.0,False
4,1.0,frac_revs,0,0.0,False
4,1.0,frac_revs,1,0.0,False
5,1.0,frac_total,0,0.06666666666666667,False
5,1.0,frac_total,1,0.16666666666666666,False
5,1.0,frac_papers,0,0.2,False
5,1.0,frac_papers,1,0.3333333333333333,False
5,1.0,frac_revs,0,0.4,False
5,1.0,frac_revs,1,0.2,False
